TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Searching for dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] cwd: /var/task,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] import.meta.dirname: /var/task/server,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] __dirname equivalent: /var/task/server,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,"2:25:51 AM [express] [Static Files] Contents of cwd (/var/task): .v8-cache, ___vc, node_modules, package.json, public, server, shared, vite.config.js, vite.config.js.map",prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] dist/ does not exist at: /var/task/dist,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Checking: /var/task/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] ✗ Path does not exist: /var/task/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Checking: /var/task/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] ✗ Path does not exist: /var/task/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Checking: /var/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] ✗ Path does not exist: /var/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Checking: /var/task/dist,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] ✗ Path does not exist: /var/task/dist,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Checking: /var/task/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
